,5,10,20,50,100
2012-03-22,199810.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,442450.0000000001
2012-03-23,202830.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,439430.0000000001
2012-03-26,203230.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,439030.0000000001
2012-03-27,203830.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,438430.0000000001
2012-03-28,200050.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,442210.0000000001
2012-03-29,194750.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,447510.0000000001
2012-03-30,195210.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,447050.0000000001
2012-04-02,199650.00000000006,716200.0000000009,454859.99999999953,131799.99999999994,442610.0000000001
2012-04-03,197230.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,445030.0000000001
2012-04-04,192190.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,450070.0000000001
2012-04-05,195790.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,446470.0000000001
2012-04-09,194090.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,448170.0000000001
2012-04-10,191250.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,451010.0000000001
2012-04-11,194490.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,447770.0000000001
2012-04-12,196330.0,716200.0000000009,454859.99999999953,131799.99999999994,445930.0000000001
2012-04-13,194770.0,716200.0000000009,454859.99999999953,131799.99999999994,447490.0000000001
2012-04-16,194870.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,447390.0000000001
2012-04-17,197410.00000000003,716200.0000000009,454859.99999999953,131799.99999999994,444850.0000000001
2012-04-18,197390.00000000003,716200.0000000009,454839.99999999953,131799.99999999994,444830.0000000001
2012-04-19,197390.00000000003,716200.0000000009,453979.99999999953,131799.99999999994,444830.0000000001
2012-04-20,197390.00000000003,716200.0000000009,456259.99999999953,131799.99999999994,444830.0000000001
2012-04-23,197390.00000000003,716200.0000000009,454779.99999999953,131799.99999999994,444830.0000000001
2012-04-24,197390.00000000003,716200.0000000009,455599.99999999953,131799.99999999994,444830.0000000001
2012-04-25,197390.00000000003,716200.0000000009,456679.99999999953,131799.99999999994,444830.0000000001
2012-04-26,197390.00000000003,716200.0000000009,457559.99999999953,131799.99999999994,444830.0000000001
